,Compound,A,B,r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,μ,rhombohedral,orthorhombic,tetragonal,cubic
74,Ag2O3,Ag,Ag,1.28,0.95,0.95,1.93,1.93,2.76145322,2.488353231,-2.36975,0.806402627,0.678571429,0,0,0,1
75,AgAlO3,Ag,Al,1.28,0.95,0.54,1.93,1.61,2.76145322,1.892894405,-1.791214286,0.976827925,0.385714286,0,1,0,0
76,AgAsO3,Ag,As,1.28,0.95,0.46,1.93,2.18,2.76145322,1.932227032,-1.389214286,1.018842029,0.328571429,0,0,1,0
77,AgAuO3,Ag,Au,1.28,0.95,0.93,1.93,2.54,2.76145322,2.31369847,-2.055535714,0.813324538,0.664285714,0,0,0,1
78,AgBO3,Ag,B,0.75,0.95,0.27,1.93,2.04,2.76145322,1.624661665,-0.852321429,0.910347054,0.192857143,0,0,0,1
79,AgBaO3,Ag,Ba,1.28,0.95,1.35,1.93,0.89,2.76145322,2.64009357,-3.552321429,0.689107699,0.964285714,0,1,0,0
80,AgBeO3,Ag,Be,1.28,0.95,0.45,1.93,1.57,2.76145322,1.803349248,-1.650392857,1.024349283,0.321428571,0,0,0,1
81,AgBiO3,Ag,Bi,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-1.992714286,0.877336191,0.542857143,1,0,0,0
82,AgCaO3,Ag,Ca,1.28,0.95,1.0,1.93,1.0,2.76145322,2.318139449,-2.883285714,0.789602572,0.714285714,1,0,0,0
83,AgCdO3,Ag,Cd,1.28,0.95,0.95,1.93,1.69,2.76145322,2.286435201,-2.479464286,0.806402627,0.678571429,0,0,0,1
84,AgCeO3,Ag,Ce,1.28,0.95,0.94,1.93,1.12,2.76145322,2.268642439,-2.722357143,0.809848792,0.671428571,0,1,0,0
85,AgCoO3,Ag,Co,1.28,0.95,0.63,1.93,1.88,2.76145322,1.930310969,-1.826892857,0.933520283,0.45,0,1,0,0
86,AgCrO3,Ag,Cr,1.28,0.95,0.49,1.93,1.66,2.76145322,1.960053288,-1.679964286,1.002669933,0.35,0,1,0,0
87,AgCsO3,Ag,Cs,1.28,0.95,1.67,1.93,0.79,2.76145322,3.009747218,-4.16375,0.617278884,1.192857143,0,0,0,1
88,AgCuO3,Ag,Cu,1.28,0.95,0.68,1.93,1.9,2.76145322,2.005573846,-1.906142857,0.911079891,0.485714286,0,1,0,0
89,AgDyO3,Ag,Dy,1.28,0.95,0.99,1.93,1.22,2.76145322,2.255580699,-2.765035714,0.792906349,0.707142857,0,0,0,1
90,AgErO3,Ag,Er,1.28,0.95,0.89,1.93,1.24,2.76145322,2.250676638,-2.579107143,0.82753108,0.635714286,0,0,0,1
91,AgEuO3,Ag,Eu,1.28,0.95,1.06,1.93,1.2,2.76145322,2.354367494,-2.897928571,0.770343973,0.757142857,0,1,0,0
