,0
0,r(AXII)(Å)
1,r(AVI)(Å)
2,r(BVI)(Å)
3,EN(A)
4,EN(B)
5,l(A-O)(Å)
6,l(B-O)(Å)
7,ΔENR
8,tG
9,μ
10,Lowest distortion
11,As
12,Ag
13,Dy
14,Cu
15,K
16,Pu
17,Cs
18,Cr
19,Fe
20,Gd
21,Sn
22,Re
23,Si
24,U
25,Tb
26,Ba
27,Co
28,Er
29,Mn
30,Li
31,Mo
32,Nd
33,Ru
34,Tm
35,Ce
36,Au
37,V
38,Pr
39,Mg
40,Na
41,B
42,Ir
43,Tl
44,Lu
45,Sr
46,La
47,Te
48,Th
49,Zr
50,Bi
51,Ta
52,Eu
53,Hg
54,W
55,Ho
56,Pd
57,Ca
58,Sm
59,Zn
60,Pt
61,Rb
62,Pb
63,Ga
64,Cd
65,Be
66,Ti
67,Sc
68,Nb
69,Yb
70,Al
71,Rh
72,Sb
73,Ge
74,In
75,Os
76,Y
77,Hf
78,Ni
79,As
80,Ag
81,Dy
82,Cu
83,K
84,Pu
85,Cs
86,Cr
87,Fe
88,Gd
89,Sn
90,Re
91,Si
92,U
93,Tb
94,Ba
95,Co
96,Er
97,Mn
98,Li
99,Mo
100,Nd
101,Ru
102,Tm
103,Ce
104,Au
105,V
106,Pr
107,Mg
108,Na
109,B
110,Ir
111,Tl
112,Lu
113,Sr
114,La
115,Te
116,Th
117,Zr
118,Bi
119,Ta
120,Eu
121,Hg
122,W
123,Ho
124,Pd
125,Ca
126,Sm
127,Zn
128,Pt
129,Rb
130,Pb
131,Ga
132,Cd
133,Be
134,Ti
135,Sc
136,Nb
137,Yb
138,Al
139,Rh
140,Sb
141,Ge
142,In
143,Os
144,Y
145,Hf
146,Ni
