,0
0,cubic
1,orthorhombic
2,tetragonal
3,cubic
4,cubic
5,orthorhombic
6,cubic
7,rhombohedral
8,rhombohedral
9,cubic
10,orthorhombic
11,orthorhombic
12,orthorhombic
13,cubic
14,orthorhombic
15,cubic
16,cubic
17,orthorhombic
18,orthorhombic
19,orthorhombic
20,cubic
21,orthorhombic
22,orthorhombic
23,cubic
24,cubic
25,cubic
26,rhombohedral
27,cubic
28,orthorhombic
29,cubic
30,cubic
31,cubic
32,orthorhombic
33,cubic
34,cubic
35,rhombohedral
36,cubic
37,orthorhombic
38,rhombohedral
39,orthorhombic
40,orthorhombic
41,orthorhombic
42,orthorhombic
43,orthorhombic
44,cubic
45,cubic
46,orthorhombic
47,rhombohedral
48,orthorhombic
49,orthorhombic
50,tetragonal
51,cubic
52,orthorhombic
53,orthorhombic
54,rhombohedral
55,cubic
56,orthorhombic
57,cubic
58,orthorhombic
59,cubic
60,cubic
61,rhombohedral
62,tetragonal
63,cubic
64,cubic
65,orthorhombic
66,cubic
67,orthorhombic
68,orthorhombic
69,cubic
70,cubic
71,cubic
72,cubic
73,orthorhombic
74,cubic
75,orthorhombic
76,orthorhombic
77,orthorhombic
78,orthorhombic
79,cubic
80,cubic
81,cubic
82,cubic
83,rhombohedral
84,orthorhombic
85,orthorhombic
86,cubic
87,cubic
88,rhombohedral
89,cubic
90,cubic
91,orthorhombic
92,rhombohedral
93,orthorhombic
94,cubic
95,orthorhombic
96,orthorhombic
97,cubic
98,rhombohedral
99,cubic
100,cubic
101,cubic
102,orthorhombic
103,cubic
104,orthorhombic
105,cubic
106,cubic
107,orthorhombic
108,cubic
109,orthorhombic
110,cubic
111,orthorhombic
112,cubic
113,cubic
114,cubic
115,cubic
116,cubic
117,cubic
118,cubic
119,orthorhombic
120,cubic
121,orthorhombic
122,cubic
123,rhombohedral
124,cubic
125,cubic
126,cubic
127,orthorhombic
128,rhombohedral
129,orthorhombic
130,orthorhombic
131,cubic
132,rhombohedral
133,orthorhombic
134,cubic
135,cubic
136,cubic
137,cubic
138,cubic
139,cubic
140,cubic
141,orthorhombic
142,cubic
143,cubic
144,orthorhombic
145,cubic
146,cubic
147,cubic
148,cubic
149,cubic
150,cubic
151,cubic
152,cubic
153,orthorhombic
154,cubic
155,cubic
156,cubic
157,cubic
158,cubic
159,cubic
160,cubic
161,cubic
162,cubic
163,orthorhombic
164,cubic
165,cubic
166,cubic
167,cubic
168,cubic
169,cubic
170,orthorhombic
171,cubic
172,cubic
173,cubic
174,cubic
175,orthorhombic
176,cubic
177,cubic
178,cubic
179,cubic
180,orthorhombic
181,cubic
182,cubic
183,cubic
184,cubic
185,cubic
186,cubic
187,cubic
188,cubic
189,rhombohedral
190,cubic
191,cubic
192,cubic
193,cubic
194,cubic
195,cubic
196,cubic
197,cubic
198,cubic
199,cubic
200,cubic
201,orthorhombic
202,cubic
203,cubic
204,cubic
205,cubic
206,cubic
207,cubic
208,cubic
209,orthorhombic
210,cubic
211,cubic
212,cubic
213,cubic
214,cubic
215,cubic
216,cubic
217,cubic
218,cubic
219,cubic
220,cubic
221,orthorhombic
222,cubic
223,cubic
224,cubic
225,cubic
226,cubic
227,cubic
228,cubic
229,cubic
230,cubic
231,orthorhombic
232,cubic
233,cubic
234,cubic
235,cubic
236,cubic
237,rhombohedral
238,cubic
239,rhombohedral
240,cubic
241,cubic
242,cubic
243,cubic
244,cubic
245,cubic
246,cubic
247,cubic
248,cubic
249,cubic
250,cubic
251,orthorhombic
252,rhombohedral
253,cubic
254,cubic
255,cubic
256,cubic
257,orthorhombic
258,rhombohedral
259,cubic
260,orthorhombic
261,cubic
262,orthorhombic
263,cubic
264,cubic
265,orthorhombic
266,orthorhombic
267,cubic
268,cubic
269,cubic
270,cubic
271,cubic
272,cubic
273,cubic
274,cubic
275,cubic
276,cubic
277,cubic
278,cubic
279,cubic
280,cubic
281,cubic
282,cubic
283,cubic
284,cubic
285,cubic
286,cubic
287,cubic
288,cubic
289,cubic
290,cubic
291,cubic
292,cubic
293,cubic
294,cubic
295,cubic
296,cubic
297,cubic
298,cubic
299,cubic
300,cubic
301,cubic
302,cubic
303,cubic
304,cubic
305,cubic
306,cubic
307,cubic
308,cubic
309,cubic
310,cubic
311,cubic
312,cubic
313,cubic
314,cubic
315,cubic
316,cubic
317,cubic
318,cubic
319,cubic
320,cubic
321,cubic
322,cubic
323,cubic
324,cubic
325,cubic
326,cubic
327,cubic
328,cubic
329,cubic
330,cubic
331,cubic
332,cubic
333,cubic
334,cubic
335,cubic
336,cubic
337,cubic
338,cubic
339,cubic
340,rhombohedral
341,cubic
342,cubic
343,orthorhombic
344,cubic
345,cubic
346,cubic
