,0
0,orthorhombic
1,cubic
2,cubic
3,cubic
4,cubic
5,tetragonal
6,cubic
7,cubic
8,orthorhombic
9,cubic
10,cubic
11,cubic
12,cubic
13,cubic
14,orthorhombic
15,orthorhombic
16,cubic
17,orthorhombic
18,tetragonal
19,orthorhombic
20,cubic
21,cubic
22,cubic
23,orthorhombic
24,cubic
25,cubic
26,orthorhombic
27,orthorhombic
28,cubic
29,cubic
30,cubic
31,orthorhombic
32,cubic
33,cubic
34,cubic
35,orthorhombic
36,cubic
37,rhombohedral
38,cubic
39,orthorhombic
40,orthorhombic
41,orthorhombic
42,cubic
43,cubic
44,cubic
45,cubic
46,cubic
47,rhombohedral
48,cubic
49,cubic
50,orthorhombic
51,cubic
52,cubic
53,orthorhombic
54,rhombohedral
55,cubic
56,orthorhombic
57,orthorhombic
58,cubic
59,cubic
60,cubic
61,cubic
62,cubic
63,cubic
64,orthorhombic
65,orthorhombic
66,orthorhombic
67,cubic
68,cubic
69,cubic
70,cubic
71,cubic
72,cubic
73,cubic
74,rhombohedral
75,orthorhombic
76,orthorhombic
77,orthorhombic
78,cubic
79,cubic
80,orthorhombic
81,orthorhombic
82,orthorhombic
83,cubic
84,cubic
85,orthorhombic
86,cubic
87,cubic
88,rhombohedral
89,cubic
90,cubic
91,cubic
92,cubic
93,rhombohedral
94,cubic
95,tetragonal
96,cubic
97,cubic
98,orthorhombic
99,orthorhombic
100,orthorhombic
101,cubic
102,orthorhombic
103,orthorhombic
104,cubic
105,cubic
106,cubic
107,cubic
108,orthorhombic
109,cubic
110,cubic
111,orthorhombic
112,cubic
113,orthorhombic
114,orthorhombic
115,cubic
116,orthorhombic
117,cubic
118,cubic
119,orthorhombic
120,orthorhombic
121,cubic
122,cubic
123,cubic
124,orthorhombic
125,orthorhombic
126,rhombohedral
127,rhombohedral
128,cubic
129,tetragonal
130,cubic
131,cubic
132,orthorhombic
133,orthorhombic
134,cubic
135,orthorhombic
136,cubic
137,cubic
138,cubic
139,cubic
140,tetragonal
141,cubic
142,cubic
143,cubic
144,cubic
145,cubic
146,cubic
147,cubic
148,cubic
149,cubic
150,cubic
151,orthorhombic
152,cubic
153,orthorhombic
154,orthorhombic
155,orthorhombic
156,cubic
157,orthorhombic
158,cubic
159,cubic
160,cubic
161,tetragonal
162,cubic
163,cubic
164,cubic
165,cubic
166,rhombohedral
167,rhombohedral
168,cubic
169,orthorhombic
170,cubic
171,cubic
172,cubic
173,cubic
174,orthorhombic
175,cubic
176,orthorhombic
177,cubic
178,cubic
179,orthorhombic
180,cubic
181,cubic
182,cubic
183,orthorhombic
184,cubic
185,cubic
186,cubic
187,cubic
188,cubic
189,orthorhombic
190,orthorhombic
191,cubic
192,cubic
193,rhombohedral
194,rhombohedral
195,rhombohedral
196,cubic
197,cubic
198,orthorhombic
199,cubic
200,orthorhombic
201,cubic
202,orthorhombic
203,cubic
204,tetragonal
205,orthorhombic
206,cubic
207,cubic
208,orthorhombic
209,cubic
210,cubic
211,rhombohedral
212,orthorhombic
213,orthorhombic
214,cubic
215,cubic
216,orthorhombic
217,orthorhombic
218,cubic
219,cubic
220,orthorhombic
221,cubic
222,cubic
223,cubic
224,orthorhombic
225,cubic
226,orthorhombic
227,orthorhombic
228,orthorhombic
229,cubic
230,tetragonal
231,cubic
232,cubic
233,cubic
234,orthorhombic
235,cubic
236,rhombohedral
237,orthorhombic
238,orthorhombic
239,cubic
240,orthorhombic
241,orthorhombic
242,orthorhombic
243,orthorhombic
244,rhombohedral
245,cubic
246,cubic
247,cubic
248,cubic
249,orthorhombic
250,cubic
251,cubic
252,orthorhombic
